site_id,n_test,site_hard_rmse,site_hard_mae,site_hard_bias,site_hard_median_abs_error,site_hard_p90_abs_error,test_target_mean,test_target_std,mean_abs_target,max_abs_target,extreme_share_abs_gt_1_5,max_abs_error,Baseline LSTM (No TL),Baseline LSTM (TL),Context-Aware Selective Learning,Deep Context LSTM (Always TL),Deep Context LSTM (No TL),Random Forest,Site-Hard Expert Selector,selected_parent,use_transfer,cosine_similarity,months_used,train_rows,max_observations,wtda_std,sim_top3_mean,selector_gamma_mean,selector_rmse_no_tl,selector_rmse_always_tl,selector_rmse_selective_learning_oof,test_best_parent,test_best_parent_rmse,rmse_gap_vs_test_best_parent,selection_matches_test_best_parent,selector_failure_type
31247,13.0,17.978361338026055,16.999454039793747,-16.852524995803833,17.0205020904541,24.03736686706543,19.840874396837673,6.162227018511413,19.840874,28.4,1.0,24.649282,20.813583374023438,20.827157974243164,18.704998016357422,17.978361129760742,19.316125869750977,20.207473211931553,17.978361129760742,Deep Context LSTM (Always TL),True,0.4737485867047974,25.0,17.0,90.0,0.7229378089820884,0.4616856589833333,0.5162813,10.774655,10.617798,10.688674,Deep Context LSTM (Always TL),17.978361129760742,2.0826531255124792e-07,True,selected_test_best_parent
31683,17.0,5.522306972505529,2.3428215174114,-1.6771209765883053,0.9389976859092712,2.8023220062255865,1.8739714342005112,5.076874005886851,2.2204635,21.830297,0.17647058823529413,21.99949,5.4256768226623535,5.447885513305664,5.524118900299072,5.5223069190979,5.530182361602783,5.397145121321065,5.5223069190979,Deep Context LSTM (Always TL),True,0.3403063554027605,66.0,58.0,222.0,0.7537292252695641,0.3275675772913464,0.5685864,3.8033552,3.7233722,3.75278,Deep Context LSTM (Always TL),5.5223069190979,5.340762854189052e-08,True,selected_test_best_parent
29419,30.0,3.8081040275988953,2.1781714498996734,1.1916862656672795,0.9146178662776947,5.739533138275147,-1.5772944108893474,3.593182354690147,2.339783,15.688889,0.43333333333333335,15.556473,3.907946825027466,3.8709359169006348,3.8287973403930664,3.851235866546631,3.8081040382385254,3.8320387391082678,3.8081040382385254,Deep Context LSTM (No TL),False,0.2448325425026823,75.0,67.0,204.0,0.8879178301026956,0.22301702369453416,0.47287798,0.88410884,0.9299431,0.90310794,Deep Context LSTM (No TL),3.8081040382385254,-1.0639630065867323e-08,True,selected_test_best_parent
31792,13.0,3.64411129651008,3.2549023903333225,-3.2549023903333225,2.8845362663269043,5.385801315307618,5.174564343232375,1.5232190951663087,5.174564,8.142258,1.0,6.550148,5.432345390319824,5.468933582305908,3.6508822441101074,3.644111156463623,4.032130718231201,4.70711668902375,3.644111156463623,Deep Context LSTM (Always TL),True,0.4182770546840869,18.0,10.0,84.0,0.6477759463835228,0.4040756813211496,0.9619043,2.7358196,2.5174797,2.627626,Deep Context LSTM (Always TL),3.644111156463623,1.4004645709775332e-07,True,selected_test_best_parent
29465,20.0,3.41853776452647,2.2344005100429056,2.0354614995419977,1.459878146648407,4.99503817558289,-2.341918287426233,2.8020117937824396,2.516536,10.55838,0.55,10.1562195,3.6269478797912598,3.5794966220855713,3.381633996963501,3.4185378551483154,3.330857038497925,3.3027131427757124,3.4185378551483154,Deep Context LSTM (Always TL),True,0.2725819736766368,33.0,25.0,99.0,0.712379707678217,0.2695603992889642,0.6434805,1.3107345,1.1222283,1.1944643,Deep Context LSTM (No TL),3.330857038497925,0.08768072602854504,False,selected_test_worse_parent
30788,17.0,3.2664974576841534,1.8861053721869694,0.7448347600943902,0.9004377126693726,4.692973899841311,-0.7232209273668773,3.002483956467114,1.6013355,9.154349,0.17647058823529413,9.831499,3.078974962234497,3.0493855476379395,3.2437596321105957,3.2664973735809326,3.2537970542907715,3.1384375732062098,3.2664973735809326,Deep Context LSTM (Always TL),True,0.4529314843133312,29.0,21.0,108.0,0.7437970106785159,0.4277147127858461,0.33973318,1.3333614,1.4309547,1.4118623,Deep Context LSTM (No TL),3.2537970542907715,0.012700403393381965,False,selected_test_worse_parent
30981,13.0,3.000200770483526,2.2501766865070048,-2.2501766865070048,1.7265338897705078,3.4645249366760265,4.010999331107507,1.9764758517253456,4.010999,10.509119,1.0,8.631702,4.507122993469238,4.533054828643799,3.023836374282837,3.0002009868621826,3.3829739093780518,3.9008551174777133,3.0002009868621826,Deep Context LSTM (Always TL),True,0.8162664275402916,7.0,0.0,64.0,0.0,0.7996781089309625,0.98936206,2.2730403,1.959083,2.1520073,Deep Context LSTM (Always TL),3.0002009868621826,-2.1637865676993329e-07,True,selected_test_best_parent
31951,4.0,2.600895366955661,2.308795750141144,-2.308795750141144,2.1299484968185425,3.6290971994400025,3.287703812122345,1.217163284814379,3.287704,4.8229995,1.0,3.8608198,3.5419044494628906,3.5698623657226562,2.4276413917541504,2.374164581298828,2.600895404815674,2.8977304632760315,2.600895404815674,Deep Context LSTM (No TL),,,,,,,,,,,,Deep Context LSTM (Always TL),2.374164581298828,0.2267307856568328,False,selected_test_worse_parent
31425,16.0,2.5860805422406528,2.1885615922510624,2.1722766272723675,1.9545155763626099,3.754972457885742,-2.8712088018655777,1.2978218605960739,2.8712087,6.6621213,0.9375,6.188143,3.1151063442230225,3.119630813598633,2.5893025398254395,2.586080551147461,2.555875062942505,2.6311139060047792,2.586080551147461,Deep Context LSTM (Always TL),True,0.2752363508523265,96.0,88.0,170.0,0.9265002857628754,0.2646280396588587,0.8730785,0.90962106,0.70111567,0.7665242,Deep Context LSTM (No TL),2.555875062942505,0.030205479298147875,False,selected_test_worse_parent
30249,22.0,2.329491389915553,1.8547056832096793,1.8547056832096793,1.536341369152069,3.2838654041290307,-2.2896153114058753,1.4284982324954616,2.2896154,7.88,0.7727272727272727,7.398836,2.6649887561798096,2.6036908626556396,2.2995851039886475,2.329491138458252,2.2336602210998535,2.118692220581732,2.329491138458252,Deep Context LSTM (Always TL),True,0.3529165904247521,60.0,52.0,194.0,0.7967590010657939,0.31223061823324993,0.7876521,4.597,4.4542236,4.516491,Deep Context LSTM (No TL),2.2336602210998535,0.09583116881569964,False,selected_test_worse_parent
